nBase,VE2_A,nHetero,nF,ATSC7are,AATSC0d,GATS1dv,GATS1s,BCUTs-1h,nBondsT,C3SP3,Xc-5d,NaasC,NssssC,NaaN,IC2,PEOE_VSA3,nHRing,nARing,nFAHRing,JGI2,MAXaaCH
2,0.13515279224797466,12,2,8.941416568047329,0.8890532544378694,0.4684697329590442,0.7429704724601474,8.003009469607324,0,2,2.2745242466012447,6,2,3,4.829589477465241,32.1505626425202,3,1,0,0.11507936507936513,1.5248741412440907
2,0.1896979548031384,7,0,0.4724499999999997,0.5740997229916897,0.5830804530672293,0.7283885514178976,7.008270514225815,0,0,0.20118446353109126,4,0,1,4.6818808028034065,4.9839785209472085,2,1,0,0.07189542483660133,1.9936804462372644
2,0.1305533199907814,8,1,1.4707748021657645,0.7155351936693045,0.4508001410955058,0.7105114101224717,8.001919011112582,0,2,0.6183905718408462,5,1,2,5.061252385364928,19.350776822204907,3,2,1,0.08628841607565019,1.887970253885658
2,0.14039638474927738,10,5,3.04297349918875,0.7701460248783126,0.3980198684387166,0.6279794981685944,8.008543218638595,2,1,0.6931227305221895,5,2,1,4.859647825013719,18.75721334893252,2,1,0,0.0898345153664303,1.5019784809926608
1,0.13922743839854498,10,2,2.146700000000001,0.5987654320987653,0.5145075485262403,0.5656246389870843,8.002970100792394,0,1,0.5852871903890683,4,0,0,5.08291579996328,8.78083009534964,2,2,0,0.07017543859649125,1.909716344492818
1,0.11380410318530627,10,2,1.1063097777777866,0.5733333333333335,0.5383526460318908,0.5894289075702429,8.002971247025808,0,2,0.5190231551471447,5,0,1,5.207813954003705,13.764808616296847,3,2,0,0.061191626409017735,1.9886964117683743
1,0.10336226759315087,10,0,2.178284193771629,0.5735640138408306,0.6650726055847135,0.7189631845072216,7.015041291829842,0,0,0.7872691065219332,4,0,0,4.804233326507423,12.723012975625167,0,1,0,0.0740740740740741,1.920650012755546
2,0.14811430605899084,9,2,2.003232828555974,0.6901027582477015,0.4308596521473899,0.5897794127185494,8.002960977529321,0,1,0.6209539468734864,5,1,1,4.8772033483198465,18.75721334893252,3,2,1,0.095959595959596,1.457504724111867
2,0.14902413493607514,5,1,-1.8014375676801326,0.709704289879217,0.5080928236503454,0.6912381256962763,8.001918455441746,0,2,0.3089255650988789,5,2,0,4.1853404560068865,9.382819780310488,1,2,0,0.07751937984496128,1.9388865486315432
2,0.18182503832628888,7,1,2.9099513250405606,0.6663061114115738,0.4895061133142883,0.6854873167773481,8.001918128589097,0,1,0.4450083285868333,4,1,1,4.815458649899996,9.374393568622027,3,1,0,0.08672086720867214,1.978664315716084
0,0.1367733558072263,7,4,-3.1544199881023185,0.694824509220702,0.43022264834345375,0.6422075505465186,8.007933242705532,0,0,0.5508638320899772,5,1,0,4.0023441312196155,4.39041504767482,0,0,0,0.0911680911680912,1.5667188623388673
2,0.17480860868395065,8,2,0.16312820512820636,0.6903353057199212,0.4648436494107345,0.599074397026313,8.002959254237398,0,2,0.5118371904769444,4,1,1,4.907071770088827,18.75721334893252,3,2,1,0.09444444444444447,1.5614607554709463
0,0.1589710305448928,5,0,1.1586155325443752,0.6667899408284022,0.4956577316392936,1.0808982309580597,3.0359756295279414,0,1,0.4138605412657321,5,1,2,4.136248173522737,9.967957041894415,3,0,0,0.06349206349206353,2.1461574074074075
2,0.13921081473718286,8,0,0.8410250342935506,0.5984224965706447,0.5126853901584358,0.7105629978273263,7.00827195824441,0,2,0.4978909578906802,4,1,2,4.70434942895605,9.967957041894415,2,2,0,0.08395061728395065,2.0973300946488176
2,0.13921081473718308,8,0,0.8410250342935506,0.5984224965706447,0.5126853901584358,0.7105629978273263,7.008271958244388,0,2,0.4978909578906803,4,1,2,4.70434942895605,9.967957041894415,2,2,0,0.08395061728395065,2.0973300946488176
2,0.1356588885197603,11,0,-0.13405695266272244,0.6582840236686388,0.4952792112522871,0.7484261150207654,7.008272263163173,0,2,0.4978909578906803,4,1,3,5.11842697763166,19.944340295477293,4,3,1,0.08628841607565015,1.8080745535128653
0,0.13094580724464494,13,0,-0.18663699001736306,0.5823567708333334,0.5165937885413163,0.6675366275030589,7.0137444182076205,0,3,0.8013434020817412,2,0,0,4.743898340904782,4.794537184071822,0,0,0,0.08743169398907108,1.6751051415929796
3,0.1309159838390449,10,3,6.485640236686362,0.7644230769230769,0.395517896737409,0.6488356955804369,8.007395006354821,0,1,0.8919561961448095,6,2,1,4.6719023439994745,9.976383253582878,2,1,0,0.09465020576131693,1.8266032559845693
1,0.12715321905507135,8,2,2.0665659260194413,0.560787779320793,0.529641312477643,0.5877216270731395,8.002970351569985,0,1,0.5027513096575085,7,0,0,5.030979803797959,8.78083009534964,1,1,0,0.06250000000000003,2.0967935650353184
1,0.11198589512324987,7,0,-3.740949379108829,0.5830898466033599,0.5801302000212789,0.6955772628104865,7.009365494715589,0,0,0.5733753727577441,5,0,0,4.869922739352083,0.0,1,1,0,0.07504873294346981,1.9803788391085813
2,0.13068099396768207,10,4,12.153522437673116,0.7423822714681441,0.383394877903514,0.5914771572457712,8.007932745282316,1,2,0.8597893971888562,3,2,0,5.135092864852157,14.177356964382307,2,3,0,0.09694989106753817,1.3472812231909903
1,0.15487770593495068,7,2,1.9836401367187493,0.5302734375,0.568296486560866,0.5962970468429335,8.002963452542135,0,1,0.19245008972987526,3,0,0,4.694255759135986,8.78083009534964,1,2,0,0.05684754521963827,1.2302068090737062
1,0.13979388810454238,10,2,2.8725536498404955,0.6128729592794147,0.5317214431138482,0.5517737175639196,8.002970408131564,0,2,0.5852871903890683,4,0,0,5.073252298546771,8.78083009534964,2,3,0,0.06992337164750961,1.9143633352335587
1,0.1174597364376004,18,0,-1.5717283737024277,0.6005382545174932,0.5109050999439565,0.7215881287704797,7.0159339296516645,0,3,1.1026868041634823,0,0,0,4.604936432241612,0.0,0,0,0,0.10069444444444448,0.0
2,0.14098536944932755,13,6,6.115554640108644,0.8220914440923492,0.4169276225129829,0.6194438604014036,8.009244904301198,0,1,0.9499963059087421,6,2,2,5.112995500567778,23.147628396607328,3,1,0,0.08888888888888892,1.6160294069185872
2,0.1445469082411454,11,0,-0.4865234374999998,0.6649305555555557,0.5028083694659373,0.7658143546264902,7.008271871996835,0,2,0.4978909578906803,4,1,3,5.220175521464345,19.944340295477293,4,2,1,0.0888888888888889,1.7931434240362811
3,0.1303610582590869,7,0,-1.3816976609489733,0.6255290710625977,0.7146938036347493,0.8246209543557955,7.008274335933804,0,3,0.34848615502863844,3,1,0,4.656455280399944,0.0,1,4,0,0.061728395061728426,2.2400105889080457
3,0.13971697368568392,8,3,7.1091033999999915,0.7216,0.4266240530594886,0.5938201946678495,8.005285031005174,0,2,0.8737245628546133,4,1,0,4.708758439731454,9.382819780310488,1,2,0,0.10265700483091793,1.6719372270513144
2,0.1475503251307234,12,3,-2.1407736466389045,0.8185603807257587,0.3808903009243814,0.7048165492930604,8.005247375574111,0,1,1.4813470359014351,5,2,3,4.802554748467753,24.33475534315212,3,1,0,0.12121212121212127,1.2885318475441547
2,0.1674307988029459,8,0,1.0736845624999984,0.6599999999999999,0.541941890190777,0.7775776306958369,7.008270952794772,0,1,0.3941440590783926,4,1,2,4.853055907333276,9.967957041894415,2,1,0,0.09009009009009013,1.9278228169137257
2,0.15901380770040954,11,5,2.4390958355868007,0.8339643050297458,0.4044998581388314,0.62643947279537,8.008541228100535,0,1,0.8597893971888562,5,2,1,4.815458649899996,18.75721334893252,2,1,0,0.09150326797385623,1.6066969761389405
0,0.14039572517996327,9,0,2.5977597777777897,0.6888888888888888,0.5628119812177698,0.728992752603082,7.014580983276539,0,0,0.985702260395516,6,0,1,4.843087507011392,13.401775505276143,1,0,0,0.08230452674897124,1.9374106765859456
2,0.10571905648457457,10,2,3.819661301775148,0.7233136094674557,0.5069398545935228,0.5718513604840708,8.002964648207849,0,4,1.0011821466097404,5,2,1,5.002911466774756,8.78083009534964,4,4,1,0.10169491525423734,1.8565565668603168
1,0.12151503348939945,11,2,3.6395420601376633,0.5948556937567927,0.4906908015802467,0.5858160939292074,8.002973501127608,0,0,0.7432194832545191,8,0,0,5.296378915390704,8.78083009534964,1,1,0,0.0772946859903382,1.8528583798501328
1,0.11929432782690873,7,0,-2.26159591836732,0.5357142857142857,0.6206243831062012,0.7093593618343467,7.009364102987133,0,1,0.39996868700443067,4,1,0,4.7910853577309265,0.0,1,1,0,0.07407407407407411,2.0107850841655406
0,0.1380160808277223,5,0,0.6791560000000049,0.5322222222222222,0.5882493249754317,1.0929733331942837,4.005294147458641,0,0,0.33093309327558146,8,0,1,4.488136156533717,4.9839785209472085,2,0,0,0.06619385342789602,2.1270549606818547
2,0.15989142320455213,9,1,-1.0692167355371902,0.6714876033057853,0.4829470273909818,0.5838541131754906,8.00186730109308,0,1,0.4089564406759849,5,1,2,4.925118550357139,19.350776822204907,3,1,0,0.08888888888888892,1.6710232951205173
1,0.1645088413137895,4,0,-0.5419048888888893,0.6795061728395061,0.621859296482412,0.8526315789473683,6.002808948614041,0,1,0.7433593827013321,6,1,0,4.4251864296630075,0.0,5,3,1,0.07709750566893425,2.233564342403628
2,0.1198106727983648,10,0,-1.3288328081717315,0.6362534626038784,0.7255896850602093,0.7374403543112612,7.014582292505658,0,0,0.9204313488265112,1,0,0,5.155904902131863,8.417796984328938,2,4,1,0.0906432748538012,1.9937816268227524
2,0.15031884931492726,10,3,-4.084813358572199,0.7128177393185505,0.4511427602577146,0.6262096011423248,8.005282885523652,0,1,0.7363749011878302,5,1,2,5.019060684834028,18.155223663971668,2,1,0,0.10052910052910057,1.4103692437846478
0,0.12491265699085245,11,0,-4.961233398437496,0.5415581597222222,0.5903254141675541,0.7029427417078908,7.011553112395131,0,3,0.9632095886329042,2,0,1,4.991475032108081,0.0,1,0,0,0.0910746812386157,1.8790786867692475
2,0.14346640709429884,13,6,4.555937618832053,0.8220914440923492,0.4169276225129829,0.6194438604014038,8.009237248404013,0,1,0.91294471268666,6,2,2,5.070442309078417,23.147628396607338,3,1,0,0.09292929292929296,1.3304198390173525
2,0.1647851450276428,9,2,-0.5417095000000007,0.7100000000000001,0.4297537736561255,0.5714596156342031,8.002960802102859,1,2,0.5118371904769444,5,1,1,4.953055907333278,18.75721334893252,3,2,1,0.0930232558139535,1.3958809295195478
3,0.12368043129047596,8,0,1.522668366285125,0.5465660770031218,0.5765143291927417,0.7318312138479334,7.008273395931113,0,0,0.33093309327558146,7,0,0,4.861060221502724,0.0,2,0,0,0.06971677559912857,1.9703064712263845
3,0.12292450551734214,6,0,-2.039028439403458,0.6036546943919343,0.6927919650605664,0.6679501468149068,7.008272971685492,0,3,0.34848615502863844,4,1,0,4.640070651960023,0.0,2,4,0,0.053639846743295035,2.2989595481979137
1,0.1206379438096206,8,2,1.3319398399999969,0.5646222222222222,0.5867473234729871,0.6099875847775006,8.002966121418387,0,2,0.4176908144772009,5,1,0,4.973074564264094,8.78083009534964,1,2,0,0.06868686868686871,2.254833254034192
1,0.13827557102524002,8,1,0.8452662037037012,0.6927083333333333,0.5913188235301331,0.7030704205091441,8.001922831292783,0,1,0.7897292182310094,6,1,0,4.919381945646371,12.808212032003755,1,1,0,0.08080808080808083,2.0971013790320177
2,0.14769313153895355,7,0,-0.3830168639053257,0.6745562130177514,0.555176560720492,0.6472924335578865,7.008281568093135,0,1,0.3860827634879544,6,1,1,4.618426977631661,4.9839785209472085,2,1,1,0.07407407407407411,2.044685050496664
2,0.15328552699192707,9,2,-0.6110814396192743,0.6841165972635336,0.5389345121389328,0.6392072849450879,8.004639730182875,0,1,0.6879108717371414,4,1,1,4.784142858171085,13.764808616296847,2,1,0,0.09444444444444447,1.6815317952249769
2,0.1488413622344638,9,0,1.7950946712018148,0.7397959183673469,0.4634887113228362,0.7734317018162313,7.008271575833996,0,0,0.5948190167920578,6,1,1,4.898153434632012,9.976383253582878,3,2,1,0.09382716049382718,1.7868020737101424
2,0.1618469148467464,8,0,0.8252956611570238,0.6337809917355373,0.5146182245689299,0.7913587903334521,7.008271305043234,0,1,0.3941440590783927,4,1,2,4.925118550357139,9.967957041894415,2,1,0,0.08771929824561406,1.9249037907939424
2,0.15706965163639627,10,5,5.255188756692443,0.7697798929208804,0.4092474501863871,0.6399087481830624,8.008538843067273,0,1,0.6931227305221895,4,2,1,4.716950480069536,18.75721334893252,2,1,0,0.08268733850129201,1.6506358884000687
2,0.12903562718359576,13,2,-0.8563197223211206,0.7411890352438588,0.4770333604687614,0.6315889724177761,8.004643172654733,0,3,0.5724899174227976,5,2,2,5.0109393224877286,14.960361774530089,4,3,1,0.08230452674897122,1.6767049736178523
3,0.12292450551734214,6,0,-2.4236893089686733,0.6036546943919343,0.6822456575098075,0.6752440818184784,7.008272971546536,0,3,0.34848615502863844,4,1,0,4.676727536206122,0.0,2,4,0,0.053639846743295035,2.298788334084392
1,0.12271703321983105,9,2,1.6143968749999995,0.5406901041666666,0.5330205093434641,0.5875512313051269,8.002970639561207,0,1,0.5027513096575085,6,0,0,4.969360937770434,8.78083009534964,1,2,0,0.06495726495726498,1.7764824182271557
2,0.1662115851264005,7,1,-0.6998246265278417,0.6853779990946127,0.4825490196078431,0.6896412635932725,8.001918420973427,0,2,0.3922588984322122,4,2,2,4.7243856600041525,19.350776822204907,3,2,0,0.07751937984496128,1.808683626228269
2,0.12970737970552648,14,4,-1.780576345486112,0.7808159722222222,0.3948,0.6865892882602661,8.006007181864627,0,1,1.4813470359014351,6,2,3,5.027569011092751,23.74119186987973,3,1,0,0.11337868480725627,1.0485929740353441
2,0.16234556691119464,11,3,-2.6744501133786844,0.7256235827664399,0.4998694018448629,0.6222046637591045,8.005280688731151,0,1,0.8383457531545426,5,1,2,4.993391529870107,23.13920218491888,3,1,0,0.09661835748792276,1.7046979474883517
1,0.13046348981212266,5,0,-0.8802347344717582,0.59260649277538,0.6449671457580347,0.5406804797065802,7.008271954535817,0,3,0.7227658575351941,4,1,1,4.440102853550995,4.9839785209472085,3,4,1,0.08429118773946365,2.2847746568683966
