nBase,VE2_A,nHetero,nF,ATSC7are,AATSC0d,GATS1dv,GATS1s,BCUTs-1h,nBondsT,C3SP3,Xc-5d,NaasC,NssssC,NaaN,IC2,PEOE_VSA3,nHRing,nARing,nFAHRing,JGI2,MAXaaCH
2,0.1559948581237003,11,0,0.0618576296296303,0.694320987654321,0.4748408012787461,0.734975816500348,7.008271328247592,0,2,0.4978909578906803,3,1,3,5.102746985122408,9.976383253582878,4,2,1,0.0878552971576227,1.8064536092214665
2,0.1513396196550837,10,2,-1.5828820861678006,0.7171201814058958,0.5560720543100633,0.7132049666297409,8.004640790229272,0,1,0.7625098312692588,5,1,1,4.925421221006455,13.764808616296849,2,1,0,0.0952380952380952,1.5210603269085412
3,0.127735412322661,7,1,-4.103382271468134,0.7522314558325639,0.4323235447792508,0.6324604696839133,8.001921081978121,0,1,1.0648934363210678,11,1,0,4.576477885389983,9.382819780310488,2,2,1,0.0952380952380952,1.9545278762486904
2,0.1307139156514013,13,5,3.7841563515201977,0.7563515201999167,0.4306083815279877,0.6600003636351156,8.008548935267347,1,1,0.8109738607199475,5,2,2,5.257367497088129,23.74119186987973,2,1,0,0.0915032679738562,1.1500340365482171
0,0.1767587488195947,6,0,-1.100929875283445,0.6286848072562359,0.4859594621275101,0.7712052191170864,7.008269791272942,0,0,0.2475252785940228,2,0,1,4.361740934322944,4.9839785209472085,1,0,0,0.0716845878136201,1.892893990929705
2,0.1408534183833804,9,5,3.7643966047985495,0.7632412856496148,0.4202029583763329,0.6141577289645795,8.008542027624832,1,1,0.8292054940101439,4,2,0,4.822538384516643,13.773234827985306,2,1,0,0.0915032679738562,1.8810926168937605
2,0.1543362888738363,8,1,-1.845730666666665,0.6054320987654324,0.5307337705847485,0.6831294635937601,8.001918394211701,0,2,0.4285038571436111,3,1,2,4.878305530231079,19.350776822204907,3,2,1,0.0813008130081301,1.819071272792864
2,0.1484067352622421,8,3,2.276725037037043,0.6617283950617282,0.4793104323117517,0.6351078167115903,8.005282340077528,0,1,0.5443062543018371,6,1,1,4.486980186354705,9.976383253582878,2,1,0,0.0869565217391304,1.8261922346098929
2,0.1348650992760196,11,4,0.0989183673469393,0.8055555555555555,0.4316842755637936,0.5982375942225646,8.006057446096426,0,2,0.9249200905518568,6,1,1,5.011365041826378,27.53804344428216,2,2,1,0.0978260869565217,1.4153630581913408
1,0.1729548555296751,5,0,-0.3978977925864252,0.5531028738025823,0.6939992675474472,0.5745887956192746,7.008270166968,0,2,0.4880679335392586,3,0,0,4.193306976936748,0.0,2,2,0,0.0777777777777778,2.121054894179894
